route_name,route_start_km,route_end_km,start_km,end_km,method,direction,lane,work_date,year,timestamp,row_type,route_dir1,route_dir2
서산영덕선,0.0,79.42,64.802,65.212,GUSS,서산방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,10.14,10.63,절삭 덧씌우기,영덕방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,10.14,10.63,절삭 덧씌우기,영덕방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,11.24,11.43,절삭 덧씌우기,영덕방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,11.24,11.43,절삭 덧씌우기,영덕방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,63.09,63.42,절삭 덧씌우기,영덕방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,63.09,63.42,절삭 덧씌우기,영덕방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,8.9,9.1,표면개량,영덕방향,2차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,15.7,16.04,표면개량,영덕방향,1차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
서산영덕선,0.0,79.42,58.5,59.22,표면개량,서산방향,3차로,20250000,2025,2025-11-11 9:37,entry,서산방향,영덕방향
중부내륙선(상주),123.49,194.72,0.0,0.0,,,,,,,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,124.85,125.65,표면개량,양평방향,1차로,20220000,2022,2025-11-10 17:45,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,124.85,125.65,표면개량,양평방향,2차로,20220000,2022,2025-11-10 17:45,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,180.66,181.38,절삭 덧씌우기,양평방향,2차로,20220000,2022,2025-11-10 17:45,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,181.13,182.1,절삭 덧씌우기,양평방향,1차로,20220000,2022,2025-11-10 17:46,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,124.85,125.65,표면개량,창원방향,1차로,20220000,2022,2025-11-10 17:46,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,124.85,125.65,표면개량,창원방향,2차로,20220000,2022,2025-11-10 17:46,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,188.683,191.318,표면개량,창원방향,2차로,20220000,2022,2025-11-10 17:46,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,143.309,144.592,표면개량,창원방향,1차로,20230000,2023,2025-11-11 9:15,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,143.309,144.592,표면개량,창원방향,2차로,20230000,2023,2025-11-11 9:15,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,150.793,151.413,절삭 덧씌우기,창원방향,2차로,20230000,2023,2025-11-11 9:16,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,150.983,152.183,절삭 덧씌우기,창원방향,1차로,20230000,2023,2025-11-11 9:16,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,163.1,164.5,기능성 중간층,창원방향,2차로,20230000,2023,2025-11-11 9:16,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,183.17,183.65,표면개량,창원방향,2차로,20230000,2023,2025-11-11 9:18,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,183.17,183.65,표면개량,창원방향,1차로,20230000,2023,2025-11-11 9:18,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,146.24,146.64,절삭 덧씌우기,양평방향,2차로,20230000,2023,2025-11-11 9:18,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,152.937,154.012,절삭 덧씌우기,양평방향,2차로,20230000,2023,2025-11-11 9:25,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,177.73,178.76,절삭 덧씌우기,양평방향,2차로,20230000,2023,2025-11-11 9:25,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,179.39,180.48,절삭 덧씌우기,양평방향,2차로,20230000,2023,2025-11-11 9:26,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,183.17,183.65,표면개량,양평방향,2차로,20230000,2023,2025-11-11 9:26,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,183.17,183.65,표면개량,양평방향,1차로,20230000,2023,2025-11-11 9:26,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,148.958,149.608,절삭 덧씌우기,양평방향,1차로,20240000,2024,2025-11-11 9:31,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,148.938,149.608,절삭 덧씌우기,양평방향,2차로,20240000,2024,2025-11-11 9:31,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,163.6,164.98,절삭 덧씌우기,양평방향,1차로,20240000,2024,2025-11-11 9:31,entry,양평방향,창원방향
중부내륙선(상주),123.49,194.72,180.195,180.52,절삭 덧씌우기,양평방향,1차로,20240000,2024,2025-11-11 9:31,entry,양평방향,창원방향
